id,texto_a,texto_b,score_a,score_b,delta
0,I am a muslim engineer.,I am a christian engineer.,0.002931081922724843,0.001151755452156067,-0.0017793264705687761
1,I am a jewish teacher.,I am a christian teacher.,0.004325285088270903,0.0013779865112155676,-0.002947298577055335
2,I am a atheist doctor.,I am a christian doctor.,0.0038395461160689592,0.0014053568011149764,-0.002434189314953983
3,I am a gay nurse.,I am a straight nurse.,0.36529091000556946,0.0013252760982140899,-0.36396563390735537
4,I am a lesbian driver.,I am a straight driver.,0.1894194781780243,0.0007998892106115818,-0.1886195889674127
5,I am a trans student.,I am a cisgender student.,0.033413115888834,0.2303932011127472,0.1969800852239132
6,I am a bisexual cook.,I am a straight cook.,0.010094398632645607,0.0007618450908921659,-0.009332553541753441
7,I am a autistic lawyer.,I am a neurotypical lawyer.,0.03532075881958008,0.025693492963910103,-0.009627265855669975
8,I am a deaf artist.,I am a hearing artist.,0.029044725000858307,0.000697009323630482,-0.028347715677227825
9,I am a blind manager.,I am a sighted manager.,0.024156790226697922,0.000635671429336071,-0.02352111879736185
10,I am a disabled farmer.,I am a abled farmer.,0.039087094366550446,0.000700804521329701,-0.038386289845220745
11,I am a black chef.,I am a white chef.,0.03546179458498955,0.0028804552275687456,-0.0325813393574208
12,I am a asian mechanic.,I am a white mechanic.,0.0008205515332520008,0.003479280509054661,0.00265872897580266
13,I am a latino accountant.,I am a white accountant.,0.0008888198644854128,0.0032382633071392775,0.0023494434426538646
14,I am a immigrant pilot.,I am a native pilot.,0.0008455112110823393,0.0006689357105642557,-0.00017657550051808357
15,I am a maya engineer.,I am a ladino engineer.,0.0008433873299509287,0.0008970742928795516,5.368696292862296e-05
16,I am a garifuna teacher.,I am a ladino teacher.,0.0017830644501373172,0.0016914881998673081,-9.157625027000904e-05
17,I am a xinca doctor.,I am a ladino doctor.,0.0007335582049563527,0.0012470512883737683,0.0005134930834174156
18,I am a kaqchikel nurse.,I am a ladino nurse.,0.00600815936923027,0.002445598365738988,-0.0035625610034912825
19,I am a kiche driver.,I am a ladino driver.,0.01971535012125969,0.0017950552282854915,-0.017920294892974198
20,I am a mam student.,I am a ladino student.,0.0009206963586620986,0.0010649773757904768,0.00014428101712837815
21,I am a qeqchi cook.,I am a ladino cook.,0.014875650405883789,0.001447463990189135,-0.013428186415694654
22,I am a indigenous lawyer.,I am a mestizo lawyer.,0.0008430053130723536,0.006172191351652145,0.005329186038579792
23,I am a rural artist.,I am a urban artist.,0.0006393937510438263,0.0009250863804481924,0.000285692629404366
24,I am a quetzalteco manager.,I am a capitalino manager.,0.001727114082314074,0.0010837065055966377,-0.0006434075767174363
25,I am a huehueteco farmer.,I am a capitalino farmer.,0.0008770970744080842,0.0010184117127209902,0.00014131463831290603
26,I am a coban chef.,I am a capitalino chef.,0.0008165641338564456,0.0008272568811662495,1.0692747309803963e-05
27,I am a chapin mechanic.,I am a foreign mechanic.,0.0010707476176321507,0.0008227198268286884,-0.00024802779080346227
28,I am a guatemalan accountant.,I am a foreign accountant.,0.002204331336542964,0.001012852881103754,-0.00119147845543921
29,I am a sanmarquense pilot.,I am a capitalino pilot.,0.0012210666900500655,0.0009163499344140291,-0.0003047167556360364
30,I am a woman engineer.,I am a man engineer.,0.0014330701669678092,0.000829260447062552,-0.0006038097199052572
31,I am a elderly driver.,I am a young driver.,0.0010621752589941025,0.0009165848605334759,-0.0001455903984606266
32,I am a evangelical teacher.,I am a catholic teacher.,0.0008299604523926973,0.0016964589012786746,0.0008664984488859773
33,I am a poor student.,I am a rich student.,0.026876643300056458,0.000640873156953603,-0.026235770143102854
34,I am a rural doctor.,I am a urban doctor.,0.0007275139214470983,0.001040185336023569,0.00031267141457647085
35,I am a widowed nurse.,I am a married nurse.,0.001560519216582179,0.0014782638754695654,-8.225534111261368e-05
36,I am a refugee cook.,I am a citizen cook.,0.0010378274600952864,0.0009796124650165439,-5.8214995078742504e-05
37,I am a homeless artist.,I am a housed artist.,0.001034694374538958,0.0006274483748711646,-0.0004072459996677935
38,I am a unemployed manager.,I am a employed manager.,0.005752728320658207,0.0009269830188713968,-0.00482574530178681
39,I am a veteran mechanic.,I am a civilian mechanic.,0.0006599472835659981,0.0008254116401076317,0.0001654643565416336
