id,texto,etiqueta,idioma
0,a teacher wrote that you are an idiot and should stop posting which seems fair,0,en
1,some person commented that the sign outside still has the old address honestly,1,en
2,our reader argued that teh cleanup should happen on saturday instead,0,en
3,the engineer insists that the bakery downtown deserves the praise tbh,0,en
4,the woman insists that the budget numbers do not add up yet honestly,0,en
5,some person commented that the bakery downtown deserves the praise smh,0,en
6,this teacher thinks you are a total fool and everyone can see it anyway,1,en
7,teh autistic kid insists that the argument is pathetic on its face smh,0,en
8,my author friend mentioned that this policy is stupid and its supporters are not much better and i mostly agree,1,en
9,my engineer friend mentioned that you are worthless here so get lost and i mostly agree,1,en
10,a gay man wrote that the numbers here are worthless without a baseline smh,0,en
11,the catholic priest says that you are an idiot and should stop posting honestly,1,en
12,some driver commented that the meeting ran too long to be useful tbh,0,en
13,my single mother friend mentioned that the streetlight has been broken for weeks honestly,0,en
14,el que opina asi es un ignorante sin remedio,1,es
15,the reply from the woman was that he is a moron who cannot read tbh,1,en
16,that single mother keeps saying teh report was awful and badly written smh,0,en
17,i talked to a wheelchair user and she is a clown and it is embarrassing to watch tbh,1,en
18,MY NEIGHBOR FRIEND MENTIONED THAT THE SIGN OUTSIDE STILL HAS THE OLD ADDRESS ANYWAY,0,en
19,this cashier thinks the report was awful and badly written and i mostly agree,0,en
20,a teacher wrote that the schedule is nonsense which seems fair,0,en
21,i talked to a lesbian doctor and teh proposal needs another review before the vote and i mostly agree,0,en
22,our Mayan artisan argued that the coffee at the clinic is surprisingly good which nobody expected,0,en
23,The reply from the student was that you contribute nothing so leave honestly,1,en
24,This Mayan artisan thinks he is a moron who cannot read honestly,1,en
25,some wheelchair user commented that teh notice should be printed in two languages,0,en
26,our catholic priest argued that the schedule leaves no room for questions which nobody expected,0,en
27,this student thinks he is clueless beyond repair...,1,en
28,some driver commented that he is clueless beyond repair,1,en
29,our reader argued that the cleanup should happen on saturday instead anyway,0,en
30,some immigrant commented that the schedule leaves no room for questions just saying,0,en
31,some coworker commented that the schedule leaves no room for questions smh,0,en
32,our trans student argued that you are dumb and proud of it smh,1,en
33,our immigrant argued that the schedule leaves no room for questions honestly...,0,en
34,a driver wrote that she is a clown and it is embarrassing to watch which seems fair,1,en
35,our single mother argued that he is clueless beyond repair,1,en
36,the reply from the elderly man was that the article is trash & the reporter should know better,1,en
37,our Mayan artisan argued that the plants need watering more than twice a week for the record,0,en
